Trait,From,To,Posterior probability,Bayes factor,Supported,Mean Markov jumps
District,ccolorado,yura,1,119631.39,TRUE,19.61
District,mmelgar,ccolorado,1,9957.1,TRUE,3.98
District,ccolorado,cayma,0.99,1581.97,TRUE,9.24
District,mmelgar,miraflores,0.99,1581.97,TRUE,3.9
District,asa,jlbyr,0.99,1036.22,TRUE,4.69
District,ccolorado,asa,0.91,142.7,TRUE,7.03
District,asa,hunter,0.89,112.38,TRUE,2.79
District,yura,ccolorado,0.81,57.29,TRUE,3.66
District,asa,mmelgar,0.8,53.1,TRUE,3.79
District,mollebaya,elpedregal,0.78,47.16,TRUE,0.77
District,yura,socabaya,0.59,18.87,TRUE,1.75
District,yura,paucarpata,0.57,17.77,TRUE,0.98
District,mmelgar,asa,0.57,17.33,TRUE,1.32
District,mmelgar,paucarpata,0.54,15.34,TRUE,1.35
District,ccolorado,uchumayo,0.47,11.68,TRUE,0.57
District,yura,hunter,0.47,11.56,TRUE,0.99
District,asa,paucarpata,0.46,11.26,TRUE,1.41
District,yura,characato,0.41,9.15,TRUE,0.87
District,yura,asa,0.39,8.63,TRUE,1.74
District,yura,miraflores,0.37,7.89,TRUE,0.44
District,asa,characato,0.32,6.34,TRUE,0.67
District,asa,mollebaya,0.3,5.71,TRUE,0.55
District,paucarpata,mmelgar,0.29,5.53,TRUE,0.84
District,yura,mollebaya,0.29,5.38,TRUE,0.54
District,cayma,sachaca,0.28,5.27,TRUE,0.26
District,asa,socabaya,0.28,5.12,TRUE,0.72
District,ccolorado,sachaca,0.28,5.07,TRUE,0.31
District,characato,mollebaya,0.27,4.83,TRUE,0.42
District,cayma,uchumayo,0.27,4.81,TRUE,0.26
District,characato,paucarpata,0.26,4.69,TRUE,0.32
District,characato,mmelgar,0.26,4.62,TRUE,0.31
District,socabaya,mollebaya,0.24,4.24,TRUE,0.31
District,socabaya,characato,0.23,3.93,TRUE,0.3
District,characato,asa,0.21,3.6,TRUE,0.29
District,ccolorado,jlbyr,0.21,3.45,TRUE,0.45
District,paucarpata,miraflores,0.2,3.23,TRUE,0.25
District,asa,miraflores,0.19,3.13,TRUE,0.39
District,yura,sachaca,0.19,3.06,TRUE,0.19
District,uchumayo,ccolorado,0.18,2.86,FALSE,0.11
District,miraflores,asa,0.17,2.81,FALSE,0.14
District,asa,yura,0.17,2.64,FALSE,0.36
District,ccolorado,socabaya,0.16,2.54,FALSE,0.35
District,miraflores,paucarpata,0.16,2.5,FALSE,0.14
District,characato,socabaya,0.15,2.44,FALSE,0.17
District,hunter,yura,0.14,2.24,FALSE,0.1
District,socabaya,asa,0.14,2.21,FALSE,0.1
District,cayma,yura,0.14,2.19,FALSE,0.15
District,yura,mmelgar,0.14,2.15,FALSE,0.33
District,yura,uchumayo,0.14,2.15,FALSE,0.15
District,uchumayo,sachaca,0.14,2.08,FALSE,0.07
District,paucarpata,characato,0.13,1.97,FALSE,0.13
District,hunter,socabaya,0.13,1.94,FALSE,0.11
District,socabaya,elpedregal,0.13,1.91,FALSE,0.07
District,jlbyr,hunter,0.12,1.89,FALSE,0.08
District,socabaya,mmelgar,0.12,1.85,FALSE,0.06
District,hunter,mmelgar,0.12,1.81,FALSE,0.05
District,sachaca,uchumayo,0.12,1.79,FALSE,0.04
District,jlbyr,sachaca,0.12,1.73,FALSE,0.05
District,mollebaya,characato,0.12,1.73,FALSE,0.11
District,yura,cayma,0.11,1.72,FALSE,0.28
District,paucarpata,asa,0.11,1.7,FALSE,0.07
District,miraflores,mmelgar,0.11,1.68,FALSE,0.05
District,socabaya,hunter,0.11,1.68,FALSE,0.06
District,socabaya,paucarpata,0.11,1.67,FALSE,0.07
District,cayma,ccolorado,0.11,1.62,FALSE,0.18
District,jlbyr,miraflores,0.11,1.62,FALSE,0.03
District,paucarpata,mollebaya,0.11,1.58,FALSE,0.06
District,hunter,sachaca,0.11,1.57,FALSE,0.03
District,sachaca,asa,0.11,1.57,FALSE,0
District,ccolorado,hunter,0.1,1.56,FALSE,0.24
District,jlbyr,paucarpata,0.1,1.55,FALSE,0.04
District,asa,sachaca,0.1,1.54,FALSE,0.08
District,elpedregal,mollebaya,0.1,1.53,FALSE,0.06
District,jlbyr,yura,0.1,1.51,FALSE,0.03
District,mollebaya,asa,0.1,1.5,FALSE,0.07
District,uchumayo,mmelgar,0.1,1.5,FALSE,0.01
District,sachaca,hunter,0.1,1.48,FALSE,0.01
District,jlbyr,socabaya,0.1,1.46,FALSE,0.03
District,sachaca,ccolorado,0.1,1.46,FALSE,0
District,sachaca,paucarpata,0.1,1.46,FALSE,0.01
District,hunter,miraflores,0.1,1.45,FALSE,0.04
District,miraflores,yura,0.1,1.45,FALSE,0.03
District,sachaca,miraflores,0.1,1.45,FALSE,0.01
District,uchumayo,miraflores,0.1,1.45,FALSE,0.01
District,characato,elpedregal,0.1,1.44,FALSE,0.04
District,cayma,jlbyr,0.1,1.43,FALSE,0.07
District,jlbyr,uchumayo,0.1,1.43,FALSE,0.02
District,mollebaya,socabaya,0.1,1.43,FALSE,0.07
District,paucarpata,socabaya,0.1,1.43,FALSE,0.04
District,miraflores,ccolorado,0.1,1.42,FALSE,0.02
District,socabaya,miraflores,0.1,1.42,FALSE,0.04
District,socabaya,sachaca,0.1,1.42,FALSE,0.04
District,sachaca,jlbyr,0.1,1.41,FALSE,0.01
District,jlbyr,mmelgar,0.09,1.39,FALSE,0.03
District,uchumayo,asa,0.09,1.39,FALSE,0
District,jlbyr,elpedregal,0.09,1.38,FALSE,0.02
District,paucarpata,yura,0.09,1.38,FALSE,0.01
District,sachaca,characato,0.09,1.37,FALSE,0
District,uchumayo,yura,0.09,1.37,FALSE,0.01
District,uchumayo,socabaya,0.09,1.36,FALSE,0.01
District,socabaya,yura,0.09,1.34,FALSE,0.03
District,jlbyr,ccolorado,0.09,1.33,FALSE,0.03
District,miraflores,mollebaya,0.09,1.33,FALSE,0
District,sachaca,socabaya,0.09,1.33,FALSE,0.01
