"Longitude","Latitude","region","province","district","capital"
-71.5507158175233,-17.1600604418126,"AREQUIPA","ISLAY","PUNTA DE BOMBON","PUNTA DE BOMBON"
-71.8293981653133,-17.0979899035826,"AREQUIPA","ISLAY","DEAN VALDIVIA","LA CURVA"
-71.8785782653359,-17.0356054112905,"AREQUIPA","ISLAY","MEJIA","MEJIA"
-72.1022355546065,-16.8763183814934,"AREQUIPA","ISLAY","ISLAY","ISLAY (MATARANI)"
-71.5995153275041,-16.9288505556939,"AREQUIPA","ISLAY","COCACHACRA","COCACHACRA"
-71.8788001438955,-16.8573593380904,"AREQUIPA","ISLAY","MOLLENDO","MOLLENDO"
-72.7128812257592,-16.6309115124341,"AREQUIPA","CAMANA","CAMANA","CAMANA"
-72.7366212225148,-16.5966736899795,"AREQUIPA","CAMANA","JOSE MARIA QUIMPER","EL CARDO"
-72.6524438021678,-16.6013344890187,"AREQUIPA","CAMANA","SAMUEL PASTOR","LA PAMPA"
-71.4432144496605,-16.5441764760888,"AREQUIPA","AREQUIPA","QUEQUEÑA","QUEQUEÑA"
-71.5498780409752,-16.613513554822,"AREQUIPA","AREQUIPA","YARABAMBA","YARABAMBA"
-71.3574022362871,-16.6419763714492,"AREQUIPA","AREQUIPA","POLOBAYA","POLOBAYA GRANDE"
-71.4738457207472,-16.5040801304496,"AREQUIPA","AREQUIPA","MOLLEBAYA","MOLLEBAYA"
-72.3519713506154,-16.7007122652839,"AREQUIPA","CAMANA","QUILCA","QUILCA"
-71.5346796627346,-16.4736408818456,"AREQUIPA","AREQUIPA","SOCABAYA","SOCABAYA"
-71.3321672955664,-16.498888690445,"AREQUIPA","AREQUIPA","POCSI","POCSI"
-71.5626832861383,-16.4587124483938,"AREQUIPA","AREQUIPA","JACOBO HUNTER","JACOBO HUNTER"
-71.4602037825016,-16.4482681941102,"AREQUIPA","AREQUIPA","SABANDIA","SABANDIA"
-71.523473107491,-16.4314921777424,"AREQUIPA","AREQUIPA","JOSE LUIS BUSTAMANTE Y RIVERO","CIUDAD SATELITE"
-71.5990143668487,-16.4634488991298,"AREQUIPA","AREQUIPA","TIABAYA","TIABAYA"
-71.5762451814992,-16.4211690228671,"AREQUIPA","AREQUIPA","SACHACA","SACHACA"
-71.3828493975135,-16.4577518052265,"AREQUIPA","AREQUIPA","CHARACATO","CHARACATO"
-71.7958048751604,-16.5884111543697,"AREQUIPA","AREQUIPA","LA JOYA","LA JOYA"
-71.4779984936121,-16.4200704778385,"AREQUIPA","AREQUIPA","PAUCARPATA","PAUCARPATA"
-72.144092754844,-16.5229072309023,"AREQUIPA","AREQUIPA","SANTA RITA DE SIGUAS","SANTA RITA DE SIGUAS"
-71.5384589764216,-16.4066578855699,"AREQUIPA","AREQUIPA","AREQUIPA","AREQUIPA"
-71.550404960272,-16.3947444098521,"AREQUIPA","AREQUIPA","YANAHUARA","YANAHUARA"
-71.6905474931932,-16.4609245478735,"AREQUIPA","AREQUIPA","UCHUMAYO","UCHUMAYO"
-72.6341167838027,-16.4794494514155,"AREQUIPA","CAMANA","NICOLAS DE PIEROLA","SAN GREGORIO"
-72.1633198654207,-16.4051199092732,"AREQUIPA","AREQUIPA","SAN JUAN DE SIGUAS","SAN JUAN DE SIGUAS /2"
-71.4628723958757,-16.3753827602798,"AREQUIPA","AREQUIPA","MARIANO MELGAR","MARIANO MELGAR"
-72.8322556899889,-16.4556106151308,"AREQUIPA","CAMANA","MARISCAL CACERES","SAN JOSE"
-71.4712706188727,-16.3564672345433,"AREQUIPA","AREQUIPA","MIRAFLORES","MIRAFLORES"
-71.3586468252964,-16.3755742346225,"AREQUIPA","AREQUIPA","CHIGUATA","CHIGUATA"
-71.4858514383214,-16.3309609924103,"AREQUIPA","AREQUIPA","ALTO SELVA ALEGRE","SELVA ALEGRE"
-71.5765866512909,-16.3044471242545,"AREQUIPA","AREQUIPA","CERRO COLORADO","LA LIBERTAD"
-71.4569510299908,-16.2526833614623,"AREQUIPA","AREQUIPA","CAYMA","CAYMA"
-71.9877132304813,-16.4891762139382,"AREQUIPA","AREQUIPA","VITOR","VITOR"
-72.0632010328194,-16.2676701110897,"AREQUIPA","AREQUIPA","SANTA ISABEL DE SIGUAS","SANTA ISABEL DE SIGUAS"
-72.5255706877398,-16.2615772594023,"AREQUIPA","CASTILLA","URACA","CORIRE"
